,Word,Embeddings similarity,Neighbours similarity
244,majesty,0.620118323803,0.471901254877
245,regarded,0.620112870169,0.443893923428
246,recently,0.619776573876,0.614019749777
247,quando,0.619700011023,0.122626450836
248,defeated,0.619667955181,0.290496660658
249,keep,0.619360208934,0.450136040361
250,skill,0.619313388104,0.414172445537
251,born,0.61896157545,0.192045191413
252,lying,0.61887523165,0.545589986665
253,presence,0.618772479243,0.0536279284445
254,discussed,0.61871252714,0.520058479493
255,rights,0.618699375348,0.380300643492
256,mountain,0.618583779685,0.26619295352
257,began,0.61830003622,0.493834137592
258,chemin,0.618281935696,0.0
259,dozen,0.618142560404,0.649766876604
260,inability,0.617781559848,0.508591169823
261,hundred,0.61775092988,0.807246517212
262,fighting,0.617683520946,0.419355152012
263,houses,0.617631305193,0.395071514502
264,north,0.617379308352,0.462760829458
265,argument,0.61697030489,0.443654568418
266,looked,0.616568064696,0.509412362287
267,poetry,0.616515135961,0.391976378378
268,christianity,0.616490778116,0.398432642347
269,fifty,0.616465595008,0.775462728632
270,eldest,0.616421890121,0.666066879612
271,possessed,0.616390693423,0.526195591626
272,you,0.616075192142,0.542940157538
273,believed,0.616028375546,0.466627779796
274,fought,0.615873177124,0.370670879463
275,deemed,0.615787346254,0.341313776789
276,girl,0.615771989807,0.45623311406
277,farm,0.615596821349,0.354479636194
278,consideration,0.615572631624,0.394232694865
279,appointed,0.615521169617,0.416084847246
280,table,0.615229694033,0.411606427675
281,could,0.615103385982,0.602533528972
282,august,0.615023610685,0.861183164976
283,i,0.614967908224,0.489428435903
284,early,0.61487795227,0.401376372423
285,days,0.614696392858,0.692436338304
286,leads,0.614427671718,0.292005794584
287,eastern,0.614311725884,0.51433238275
288,vicinity,0.61419814252,0.582101652177
289,methods,0.614175049319,0.153834017044
290,remark,0.614135292594,0.502781751115
291,appoint,0.613929008171,0.430133468667
292,enthusiasm,0.613799463762,0.344093870489
293,dress,0.613700846834,0.43990392101
294,sorts,0.613679656128,0.461097556223
295,wanted,0.613649018277,0.517142273949
296,children,0.613622857843,0.510622086186
297,court,0.613371422158,0.395631275446
298,lies,0.61336084284,0.519462712817
299,people,0.613183757698,0.216044113857
300,fifteen,0.613174008691,0.851962128835
301,solemn,0.613160851495,0.327540061603
